timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601549366877,8,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,0,0
1601549366877,8,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,8,0,0
1601549366886,15,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,8118,690,1,1,null,0,1,0
1601549366886,11,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,11,0,0
1601549366897,4,гостевая,200,,sendComment 1-1,text,true,,4006,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549366902,10,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4320,794,1,1,null,0,1,0
1601549366902,6,комментарий,200,,sendComment 1-1,text,true,,274,497,1,1,http://localhost:8080/service/guestbook?user=ИБРАЭ&text=Спасибо!,6,0,0
1601549366909,4,комментарий,200,,sendComment 1-1,text,true,,4046,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549366914,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,443,0,1,1,null,0,0,0
1601549366916,9,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549367417,9,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,9,0,0
1601549367427,8,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,2,0
1601549367428,8,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,8,0,0
1601549367438,13,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,8158,690,1,1,null,0,1,0
1601549367438,9,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,9,0,0
1601549367448,4,гостевая,200,,sendComment 1-1,text,true,,4046,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549367453,6,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4424,986,1,1,null,0,2,0
1601549367453,3,комментарий,200,,sendComment 1-1,text,true,,274,689,1,1,"http://localhost:8080/service/guestbook?user=ОТП%20Банк&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",3,0,0
1601549367457,3,комментарий,200,,sendComment 1-1,text,true,,4150,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549367461,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,484,0,1,1,null,0,0,0
1601549367463,11,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549367964,11,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,11,0,0
1601549367976,9,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
